"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2006-M12","0.8122025552102569","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M01","-0.5763298472650666","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M02","-0.03153768753660624","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M03","0.2365669167947443","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M04","0.4600767294089438","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M05","1.265214846388209","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M06","1.70822697820538","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M07","2.975565882176585","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M08","3.451840532158749","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M09","3.00949182024022","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M10","4.064227035100822","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M11","4.86034353995519","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2007-M12","3.837676842889054","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M01","6.641239859547161","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M02","6.566415287083496","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M03","6.73000315680291","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M04","7.581114343253524","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M05","7.542387953521461","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M06","7.555687555687556","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M07","6.584176432054735","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M08","6.438719207542251","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M09","6.760218935600326","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M10","6.428786726184496","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M11","5.549541336675973","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2008-M12","5.352302551378949","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M01","4.261992619926199","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M02","3.231035989680985","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M03","2.554929577464789","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M04","0.3147662825686038","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M05","0.2315293339397197","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M06","-0.02485226707903021","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M07","-0.2581332459231337","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M08","-0.2816441487407649","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M09","-0.4172347968366512","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M10","-0.9130141604855024","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M11","-0.7908232118758435","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2009-M12","-0.5281857907131869","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M01","0.2082681077549242","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M02","0.9572710265058925","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M03","1.610953937429615","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M04","3.206900364923145","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M05","3.250422802458442","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M06","2.716475624913686","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M07","3.149433786577935","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M08","3.256924546322827","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M09","3.677739135197305","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M10","3.521021327562506","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M11","3.806077753897217","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2010-M12","4.592793310615703","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M01","5.512388611171484","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M02","4.988502637630191","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M03","5.048184140457107","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M04","4.457302046501661","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M05","4.486436818345252","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M06","5.243556475792248","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M07","5.448100996960002","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M08","5.719042773894314","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M09","5.462229265715795","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M10","5.420720483828556","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M11","5.658349931858685","Units"
"Singapore","Consumer price index (CPI)","All Items","Period average, Year-over-year (YOY) percent change","Monthly","2011-M12","5.542543865387886","Units"
